country,year,population,gdp,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,flaring_co2,flaring_co2_per_capita,land_use_change_co2,land_use_change_co2_per_capita,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o
India,1900,280714154,2.71697E+11,11.93,1.875,18.649,0.042,0.044,0,0,116.772,0.416,4.409,0.003,0.001,0.005,0.001
India,1901,281834058,2.77328E+11,13.18,1.25,10.479,0.047,0.048,0,0,114.537,0.406,4.379,0.003,0.002,0.005,0.001
India,1902,283199773,3.00672E+11,14.515,1.336,10.135,0.051,0.048,0,0,114.17,0.403,4.346,0.003,0.002,0.006,0.001
India,1903,284812956,3.04764E+11,14.802,0.287,1.975,0.052,0.049,0,0,111.239,0.391,4.306,0.003,0.002,0.006,0.001
India,1904,286435299,3.06075E+11,16.561,1.759,11.883,0.058,0.054,0,0,110.396,0.385,4.264,0.003,0.002,0.006,0.001
India,1905,288066854,3.00633E+11,16.931,0.37,2.232,0.059,0.056,0,0,108.711,0.377,4.217,0.003,0.002,0.006,0.001
India,1906,289707671,3.0897E+11,19.549,2.619,15.467,0.067,0.063,0,0,107.941,0.373,4.167,0.004,0.002,0.006,0.001
India,1907,291357804,2.90665E+11,21.772,2.223,11.371,0.075,0.075,0,0,105.413,0.362,4.111,0.004,0.002,0.006,0.001
India,1908,293017306,2.94817E+11,24.908,3.136,14.403,0.085,0.084,0,0,104.717,0.357,4.058,0.004,0.002,0.006,0.001
India,1909,294397607,3.35358E+11,24.143,-0.766,-3.074,0.082,0.072,0,0,103.911,0.353,4.001,0.004,0.002,0.006,0.001
India,1910,295496971,3.35633E+11,23.487,-0.655,-2.714,0.079,0.07,0,0,106.036,0.359,3.943,0.004,0.002,0.006,0.001
India,1911,296313651,3.33713E+11,24.782,1.295,5.514,0.084,0.074,0,0,109.041,0.368,3.888,0.004,0.002,0.007,0.001
India,1912,296845891,3.33133E+11,28.521,3.739,15.087,0.096,0.086,0,0,108.894,0.367,3.837,0.004,0.002,0.007,0.001
India,1913,297091925,3.2587E+11,31.467,2.945,10.327,0.106,0.097,0,0,108.748,0.366,3.786,0.004,0.002,0.007,0.001
India,1914,297338132,3.4352E+11,31.698,0.231,0.735,0.107,0.092,0,0,108.491,0.365,3.743,0.004,0.002,0.007,0.001
India,1915,297584511,3.34924E+11,33.142,1.444,4.554,0.111,0.099,0,0,108.198,0.364,3.703,0.004,0.002,0.007,0.001
India,1916,297831063,3.44694E+11,33.518,0.376,1.134,0.113,0.097,0,0,108.821,0.365,3.663,0.004,0.002,0.007,0.001
India,1917,298077789,3.38633E+11,35.02,1.502,4.482,0.117,0.103,0,0,107.465,0.361,3.625,0.004,0.002,0.007,0.001
